Column Name,Data Type,Unit,UCD,Description
objectId,long,,meta.id;src;meta.main,Unique id. Unique ObjectID
coord_dec,double,deg,pos.eq.dec;meta.main,Fiducial ICRS Declination of centroid used for database indexing
coord_ra,double,deg,pos.eq.ra;meta.main,Fiducial ICRS Right Ascension of centroid used for database indexing
deblend_nChild,int,,,Number of children this object has (defaults to 0)
deblend_skipped,boolean,,,Deblender skipped this source
detect_fromBlend,boolean,,,This source is deblended from a parent with more than one child.
detect_isDeblendedModelSource,boolean,,,True if source has no children and is in the inner region of a coadd patch and is in the inner region of a coadd tract and is not detected in a pseudo-filter (see config.pseudoFilterList) and is a deblended child
detect_isDeblendedSource,boolean,,,True if source has no children and is in the inner region of a coadd patch and is in the inner region of a coadd tract and is not detected in a pseudo-filter (see config.pseudoFilterList) and is either an unblended isolated source or a deblended child from a parent with
detect_isIsolated,boolean,,,This source is not a part of a blend.
detect_isPatchInner,boolean,,,True if source is in the inner region of a coadd patch
detect_isPrimary,boolean,,,True if source has no children and is in the inner region of a coadd patch and is in the inner region of a coadd tract and is not detected in a pseudo-filter (see config.pseudoFilterList)
detect_isTractInner,boolean,,,True if source is in the inner region of a coadd tract
footprintArea,int,pixel,,Number of pixels in the sources detection footprint. Reference band.
merge_peak_sky,boolean,,,Peak detected in filter sky
parentObjectId,long,,meta.id.parent,Unique ID of parent source. Reference band.
patch,long,,meta.id.part;obs.field,Skymap patch ID
refBand,char,,meta.id;instr.filter;meta.main,Reference band - parameters measured on coadds of this band were used for multi-band forced photometry
refExtendedness,double,,,"Set to 1 for extended sources, 0 for point sources. Reference band."
refFwhm,double,,,Estimated FWHM on the reference band at source center assuming a Gaussian profile
shape_flag,boolean,,,"General failure flag, set if anything went wrong. Reference band."
shape_xx,double,pixel^2,,HSM moments. Reference band.
shape_xy,double,pixel^2,,HSM moments. Reference band.
shape_yy,double,pixel^2,,HSM moments. Reference band.
sky_object,boolean,,,No source was detected here. This object exists to characterize properties of the sky background
skymap,char,,,Name of skymap used for coadd projection
tract,long,,meta.id;obs.field,Skymap tract ID
x,double,pixel,,Centroid from Sdss Centroid algorithm. Reference band.
xErr,float,pixel,,1-sigma uncertainty on x position. Reference band.
xy_flag,boolean,,,General Failure Flag. Reference band.
y,double,pixel,,Centroid from Sdss Centroid algorithm. Reference band.
yErr,float,pixel,,1-sigma uncertainty on y position. Reference band.
g_ap03Flux,double,nJy,,Flux within 3.0-pixel aperture. Forced on g-band.
g_ap03FluxErr,double,nJy,,Flux uncertainty within 3.0-pixel aperture. Forced on g-band.
g_ap03Flux_flag,boolean,,,General Failure Flag. Forced on g-band.
g_ap06Flux,double,nJy,,Flux within 6.0-pixel aperture. Forced on g-band.
g_ap06FluxErr,double,nJy,,Flux uncertainty within 6.0-pixel aperture. Forced on g-band.
