,name,size,percent
38,momentYY,9351.0,2.4173347017172877
44,momentM4S,9351.0,2.4173347017172877
43,momentM4C,9351.0,2.4173347017172877
8,randomDetID,9351.0,2.4173347017172877
36,momentXX,9351.0,2.4173347017172877
42,momentM3S,9343.0,2.4152666151368427
41,momentM3C,9343.0,2.4152666151368427
37,momentXY,9343.0,2.4152666151368427
53,skyErr,9336.0,2.4134570393789536
13,xPosErr,9335.0,2.413198528556398
20,decErr,9335.0,2.413198528556398
19,raErr,9335.0,2.413198528556398
17,ra,9335.0,2.413198528556398
46,apFluxErr,9335.0,2.413198528556398
52,sky,9335.0,2.413198528556398
45,apFlux,9335.0,2.413198528556398
14,yPosErr,9328.0,2.411388952798509
26,psfFlux,9327.0,2.411130441975953
27,psfFluxErr,9319.0,2.4090623553955086
28,psfMajorFWHM,9311.0,2.406994268815064
30,psfTheta,9287.0,2.40079000907373
31,psfCore,9279.0,2.398721922493285
40,momentRH,9279.0,2.398721922493285
29,psfMinorFWHM,9279.0,2.398721922493285
34,psfChiSq,9257.0,2.3930346843970622
21,extNSigma,9158.0,2.367442112964059
35,psfLikelihood,9055.0,2.340815498240834
33,psfQfPerfect,8599.0,2.2229345631554867
18,dec,8466.0,2.1885526237555935
32,psfQf,8447.0,2.1836409181270375
49,kronFlux,8271.0,2.1381430133572543
50,kronFluxErr,8263.0,2.1360749267768093
51,kronRad,8111.0,2.09678128174836
39,momentR1,8103.0,2.0947131951679157
25,airMass,7727.0,1.9975131258870151
12,yPos,7259.0,1.8765300609310007
48,apRadius,7253.0,1.8749789959956673
11,xPos,7076.0,1.8292225804033286
22,zp,6946.0,1.7956161734711023
2,detectID,6694.0,1.7304714461870947
1,uniquePspsP2id,6595.0,1.7048788747540917
15,pltScale,5186.0,1.3406371257732705
4,ippDetectID,4889.0,1.2638594114742614
16,posAngle,4062.0,1.0500709612207915
47,apFillF,3378.0,0.8732495585927705
10,obsTime,1580.0,0.4084470996378263
23,telluricExt,1580.0,0.4084470996378263
0,objID,1508.0,0.38983432041382415
7,imageID,1384.0,0.3577789784169314
3,ippObjID,1151.0,0.2975459567614798
56,infoFlag3,788.0,0.203706528173802
54,infoFlag,629.0,0.16260330738746379
24,expTime,503.0,0.1300309437454599
5,filterID,471.0,0.12175859742368114
55,infoFlag2,331.0,0.08556708226589907
9,dvoRegionID,79.0,0.02042235498189132
6,surveyID,79.0,0.02042235498189132
57,processingVersion,79.0,0.02042235498189132
