,name,size,percent
1,objNameHMS,10011.0,3.3768581827503974
27,decMean,9351.0,3.154230433213362
37,cy,9351.0,3.154230433213362
39,lambda,9351.0,3.154230433213362
40,beta,9351.0,3.154230433213362
15,randomID,9351.0,3.154230433213362
41,l,9351.0,3.154230433213362
42,b,9351.0,3.154230433213362
26,raMean,9351.0,3.154230433213362
0,objName,9077.0,3.0618061856782894
38,cz,8896.0,3.0007522119416175
36,cx,8721.0,2.9417221268371008
6,objID,7691.0,2.5942879116505146
29,decMeanErr,6951.0,2.3446749803514146
28,raMeanErr,6950.0,2.344337665579389
10,htmID,6285.0,2.120023342182224
8,ippObjID,5680.0,1.9159479051066082
7,uniquePspsOBid,5676.0,1.914598646018505
84,iMeanPSFMag,3249.0,1.095935694311861
88,iMeanPSFMagMin,3224.0,1.0875028250112158
89,iMeanPSFMagMax,3224.0,1.0875028250112158
83,iQfPerfect,3193.0,1.0770460670784157
85,iMeanPSFMagErr,3193.0,1.0770460670784157
95,iMeanApMagErr,3113.0,1.0500608853163507
94,iMeanApMag,3113.0,1.0500608853163507
34,epochMean,3061.0,1.0325205171710083
72,rMeanPSFMagMin,2980.0,1.0051980206369178
69,rMeanPSFMagErr,2958.0,0.99777709565235
73,rMeanPSFMagMax,2950.0,0.9950785774761434
68,rMeanPSFMag,2942.0,0.992380059299937
67,rQfPerfect,2868.0,0.9674187661700269
79,rMeanApMagErr,2866.0,0.9667441366259752
78,rMeanApMag,2819.0,0.9508903423407621
63,gMeanApMagErr,2575.0,0.8685855379664641
53,gMeanPSFMagErr,2570.0,0.8668989641063352
62,gMeanApMag,2567.0,0.8658870197902577
51,gQfPerfect,2556.0,0.8621765572979738
57,gMeanPSFMagMax,2556.0,0.8621765572979738
52,gMeanPSFMag,2546.0,0.8588034095777156
56,gMeanPSFMagMin,2526.0,0.8520571141371993
22,raStack,2340.0,0.7893165665403984
23,decStack,2340.0,0.7893165665403984
75,rMeanKronMagErr,2124.0,0.7164565757828233
74,rMeanKronMag,2115.0,0.7134207428345909
115,yQfPerfect,1978.0,0.6672086190670548
117,yMeanPSFMagErr,1975.0,0.6661966747509773
116,yMeanPSFMag,1972.0,0.6651847304348999
121,yMeanPSFMagMax,1972.0,0.6651847304348999
120,yMeanPSFMagMin,1965.0,0.6628235270307193
101,zMeanPSFMagErr,1950.0,0.6577638054503321
104,zMeanPSFMagMin,1936.0,0.6530413986419706
100,zMeanPSFMag,1917.0,0.6466324179734804
111,zMeanApMagErr,1907.0,0.6432592702532222
110,zMeanApMag,1907.0,0.6432592702532222
105,zMeanPSFMagMax,1897.0,0.6398861225329641
99,zQfPerfect,1885.0,0.6358383452686543
58,gMeanKronMag,1861.0,0.6277427907400349
59,gMeanKronMagErr,1861.0,0.6277427907400349
126,yMeanApMag,1849.0,0.6236950134757251
127,yMeanApMagErr,1849.0,0.6236950134757251
91,iMeanKronMagErr,1700.0,0.5734351124438792
90,iMeanKronMag,1692.0,0.5707365942676728
35,posMeanChisq,1330.0,0.44862864679432907
107,zMeanKronMagErr,1218.0,0.41084939232743817
106,zMeanKronMag,1218.0,0.41084939232743817
86,iMeanPSFMagStd,1023.0,0.345073011782405
96,iMeanApMagStd,969.0,0.3268580140930112
123,yMeanKronMagErr,889.0,0.29987283233094625
122,yMeanKronMag,888.0,0.29953551755892044
92,iMeanKronMagStd,884.0,0.2981862584708172
82,rFlags,877.0,0.29582505506663653
70,rMeanPSFMagStd,829.0,0.2796339460093976
30,pmra,826.0,0.2786220016933202
