# HATS verification results for
# /epyc/data3/hats/catalogs/des/des_y6_gold_collection/des_y6_gold
# Package versions: hats v0.7.1; hats-import v0.7.1.dev4+g91d6b7dc5
# User-supplied truth schema: None
# User-supplied truth total rows: None
datetime,passed,test,target,description,bad_files
2025/11/13 20:22:31 UTC,True,valid hats,des_y6_gold,Test hats.io.validation.is_valid_catalog.,[]
2025/11/13 20:22:31 UTC,True,file sets,_metadata vs data files,Test that files in _metadata match the data files on disk.,[]
2025/11/13 20:22:34 UTC,True,num rows,file footers vs catalog properties,"Test that number of rows are equal. file footers (691,483,608) vs catalog properties (691,483,608).",[]
2025/11/13 20:22:34 UTC,True,num rows,file footers vs _metadata,"Test that number of rows are equal. file footers (691,483,608) vs _metadata (691,483,608).",[]
2025/11/13 20:22:34 UTC,True,schema,_common_metadata vs truth,"Test that schemas are equal, excluding metadata.",[]
2025/11/13 20:22:34 UTC,True,schema,_metadata vs truth,"Test that schemas are equal, excluding metadata.",[]
2025/11/13 20:22:34 UTC,True,schema,file footers vs truth,"Test that schemas are equal, excluding metadata.",[]
# HATS verification results for
# /epyc/data3/hats/catalogs/des/des_y6_gold_collection/des_y6_gold
# Package versions: hats v0.7.1; hats-import v0.7.1.dev4+g91d6b7dc5
# User-supplied truth schema: None
# User-supplied truth total rows: None
datetime,passed,test,target,description,bad_files
2025/11/14 11:19:24 UTC,True,valid hats,des_y6_gold_collection,Test hats.io.validation.is_valid_collection.,[]
2025/11/14 11:19:24 UTC,True,file sets,_metadata vs data files,Test that files in _metadata match the data files on disk.,[]
2025/11/14 11:19:40 UTC,True,num rows,file footers vs catalog properties,"Test that number of rows are equal. file footers (691,483,608) vs catalog properties (691,483,608).",[]
2025/11/14 11:19:40 UTC,True,num rows,file footers vs _metadata,"Test that number of rows are equal. file footers (691,483,608) vs _metadata (691,483,608).",[]
2025/11/14 11:19:40 UTC,True,schema,_common_metadata vs truth,"Test that schemas are equal, excluding metadata.",[]
2025/11/14 11:19:40 UTC,True,schema,_metadata vs truth,"Test that schemas are equal, excluding metadata.",[]
2025/11/14 11:19:40 UTC,True,schema,file footers vs truth,"Test that schemas are equal, excluding metadata.",[]
