# HATS verification results for
# /epyc/data3/hats/catalogs/v06/two_mass/two_mass
# Package versions: hats v0.7.1; hats-import v0.7.1.dev4+g91d6b7dc5
# User-supplied truth schema: None
# User-supplied truth total rows: None
datetime,passed,test,target,description,bad_files
2025/11/24 19:45:55 UTC,True,valid hats,two_mass,Test hats.io.validation.is_valid_collection.,[]
2025/11/24 19:45:55 UTC,True,file sets,_metadata vs data files,Test that files in _metadata match the data files on disk.,[]
2025/11/24 19:45:55 UTC,True,num rows,file footers vs catalog properties,"Test that number of rows are equal. file footers (470,992,970) vs catalog properties (470,992,970).",[]
2025/11/24 19:45:55 UTC,True,num rows,file footers vs _metadata,"Test that number of rows are equal. file footers (470,992,970) vs _metadata (470,992,970).",[]
2025/11/24 19:45:55 UTC,True,schema,_common_metadata vs truth,"Test that schemas are equal, excluding metadata.",[]
2025/11/24 19:45:55 UTC,True,schema,_metadata vs truth,"Test that schemas are equal, excluding metadata.",[]
2025/11/24 19:45:55 UTC,True,schema,file footers vs truth,"Test that schemas are equal, excluding metadata.",[]
# HATS verification results for
# /epyc/data3/hats/catalogs/v06/two_mass/two_mass
# Package versions: hats v0.7.1; hats-import v0.7.1.dev4+g91d6b7dc5
# User-supplied truth schema: None
# User-supplied truth total rows: None
datetime,passed,test,target,description,bad_files
2025/11/24 19:46:55 UTC,True,valid hats,two_mass,Test hats.io.validation.is_valid_collection.,[]
2025/11/24 19:46:55 UTC,True,file sets,_metadata vs data files,Test that files in _metadata match the data files on disk.,[]
2025/11/24 19:46:55 UTC,True,num rows,file footers vs catalog properties,"Test that number of rows are equal. file footers (470,992,970) vs catalog properties (470,992,970).",[]
2025/11/24 19:46:55 UTC,True,num rows,file footers vs _metadata,"Test that number of rows are equal. file footers (470,992,970) vs _metadata (470,992,970).",[]
2025/11/24 19:46:55 UTC,True,schema,_common_metadata vs truth,"Test that schemas are equal, excluding metadata.",[]
2025/11/24 19:46:55 UTC,True,schema,_metadata vs truth,"Test that schemas are equal, excluding metadata.",[]
2025/11/24 19:46:55 UTC,True,schema,file footers vs truth,"Test that schemas are equal, excluding metadata.",[]
